,name,kana,romanized
333,伊勢,いせ,ise
334,薗田,そのだ,sonoda
335,串田,くしだ,kushida
336,間中,まなか,manaka
337,奥村,おくむら,okumura
338,矢島,やじま,yajima
339,冨樫,とがし,togashi
340,竹岡,たけおか,takeoka
341,有村,ありむら,arimura
342,川口,かわぐち,kawaguchi
343,小久保,こくぼ,kokubo
344,武内,たけうち,takeuchi
345,水野,みずの,mizuno
346,石橋,いしばし,ishibashi
347,高安,たかやす,takayasu
348,大山,おおやま,ooyama
349,箱崎,はこざき,hakozaki
350,塚本,つかもと,tsukamoto
351,藤森,ふじもり,fujimori
352,武田,たけだ,takeda
353,杉原,すぎはら,sugihara
354,中根,なかね,nakane
355,織田,おだ,oda
356,大熊,おおくま,ookuma
357,花輪,はなわ,hanawa
358,北,きた,kita
359,岡崎,おかざき,okazaki
360,勝田,かつた,katsuta
361,白鳥,しらとり,shiratori
362,野元,のもと,nomoto
363,丹羽,にわ,niwa
364,小松崎,こまつざき,komatsuzaki
365,白井,しらい,shirai
366,坂巻,さかまき,sakamaki
367,成田,なりた,narita
368,脇坂,わきさか,wakisaka
369,大津,おおつ,ootsu
370,浦川,うらかわ,urakawa
371,小野,おの,ono
372,荻野,おぎの,ogino
373,大城,おおしろ,ooshiro
374,福井,ふくい,fukui
375,木内,きうち,kiuchi
376,岩田,いわた,iwata
377,林田,はやしだ,hayashida
378,宮本,みやもと,miyamoto
379,生駒,いこま,ikoma
380,堀内,ほりうち,horiuchi
381,吉川,よしかわ,yoshikawa
382,梅原,うめはら,umehara
383,原口,はらぐち,haraguchi
384,鎌田,かまた,kamata
385,寺田,てらだ,terada
386,細野,ほその,hosono
387,玉田,たまだ,tamada
388,久米,くめ,kume
389,小澤,おざわ,ozawa
390,輿石,こしいし,koshiishi
391,三田,みた,mita
392,岡野,おかの,okano
393,柳楽,なぎら,nagira
394,田辺,たなべ,tanabe
395,白坂,しらさか,shirasaka
396,川村,かわむら,kawamura
397,高木,たかぎ,takagi
398,小太刀,こだち,kodachi
399,小松,こまつ,komatsu
400,倉田,くらた,kurata
401,伊東,いとう,itou
402,迫田,さこだ,sakoda
403,山岸,やまぎし,yamagishi
404,平田,ひらた,hirata
405,三牧,みまき,mimaki
406,宮川,みやがわ,miyagawa
407,野尻,のじり,nojiri
408,安達,あだち,adachi
409,片山,かたやま,katayama
410,坂内,ばんない,bannai
411,小塚,こづか,kozuka
412,大江,おおえ,ooe
413,宮野,みやの,miyano
414,江藤,えとう,etou
415,浅野,あさの,asano
416,財前,ざいぜん,zaizen
417,福野,ふくの,fukuno
418,服部,はっとり,hattori
